adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/fBlzTwgtbDYkDKlhnPu69jHfVGy.jpg,"[27, 10749]",1242011,en,Together,"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",254.241,/6MJxjNxjgAtuBEOVYtuF4yUYXZC.jpg,2025-07-23,Together,False,7.136,356
False,/pHvHLrbvMogNMH1l7Uon3VzE3px.jpg,"[80, 28]",660033,pl,Jak zostałem gangsterem. Historia prawdziwa,"The action of the film begins in the 1970s – even then, the young protagonist knows that adrenaline tastes better than powdered milk. Over time, he also discovers a desire for money, power, and being above the law. A transformation begins, and his gangster talent blossoms. Together with a friend, they build their own army.",233.975,/oEvk45mBpE6s6wmIjvCTbdaMMpB.jpg,2019-12-25,How I Became a Gangster,False,7.032,110
False,/8jeDyvFQKgss36FbGAmGQVzPXlH.jpg,"[53, 28, 35]",1151334,en,Eenie Meanie,A former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,210.9485,/12Va3oO3oYUdOd75zM57Nx1976a.jpg,2025-08-21,Eenie Meanie,False,6.422,148
False,/9DYFYhmbXRGsMhfUgXM3VSP9uLX.jpg,[27],1038392,en,The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,210.1915,/8XfIKOPmuCZLh5ooK13SPKeybWF.jpg,2025-09-03,The Conjuring: Last Rites,False,7.167,36
False,/gVPjIcYo1gTaACF43OMsralrcUS.jpg,"[27, 9648, 53, 28, 12]",1083433,en,I Know What You Did Last Summer,"When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge.",190.9479,/A06yXys3hrCWu8xiNoHCFLTG5SH.jpg,2025-07-16,I Know What You Did Last Summer,False,5.872,296
False,/jvpkBenB6hv19WWYVlaiow8zklq.jpg,"[16, 10751, 35, 80, 12]",1175942,en,The Bad Guys 2,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",185.6577,/5DJbIWxIotQYUnRrRGhSxjxmvye.jpg,2025-07-24,The Bad Guys 2,False,7.755,302
False,/AeDzjt00Hfh9CuW7TIUdYBJmWYM.jpg,"[14, 10751, 28, 12]",1087192,en,How to Train Your Dragon,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",184.7113,/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,2025-06-06,How to Train Your Dragon,False,8.031,1821
False,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,"[16, 28, 12, 35, 10751, 14, 10402]",803796,en,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",174.9332,/22AouvwlhlXbe3nrFcjzL24bvWH.jpg,2025-06-20,KPop Demon Hunters,False,8.378,1253
False,/yth78N88nwokepnOe5atwPGfTL1.jpg,"[28, 80, 53]",1382406,zh,惊天大营救,A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.,171.2741,/nML8rOI4GOiiEsXgknuhZeUF8M7.jpg,2024-12-05,Striking Rescue,False,7.692,100
False,/7RY5uiuM97FqS5qvPHG2XW2ZruY.jpg,[18],1024592,en,God's Not Dead: In God We Trust,"In a time of profound political, civil, and spiritual turmoil, Reverend David Hill grapples with the crucial question: Does God still have a place in politics? Compelled to enter a congressional race after the sudden death of a favored incumbent, David faces off against state senator Peter Kane, a formidable opponent determined to push religion out of the public square and cause greater divide.",162.7726,/eb0KuIknUNKMunKTZQMn8hKyM7l.jpg,2024-09-12,God's Not Dead: In God We Trust,False,4.8,14
